id,f_valid,f_maxima,f_muyalta,f_alta,f_moderada,f_baja
453,1.0,0.086,0.174,0.342,0.014,0.383
454,1.0,0.72,0.0,0.002,0.014,0.264
455,1.0,0.31,0.0,0.003,0.105,0.582
456,1.0,0.011,0.003,0.64,0.037,0.309
457,1.0,0.017,0.0,0.174,0.503,0.307
458,1.0,0.04,0.0,0.022,0.587,0.351
459,1.0,0.012,0.0,0.066,0.511,0.411
460,1.0,0.027,0.0,0.003,0.524,0.446
461,1.0,0.028,0.0,0.0,0.233,0.738
462,1.0,0.025,0.0,0.0,0.271,0.704
463,1.0,0.035,0.0,0.0,0.126,0.839
464,1.0,0.193,0.0,0.007,0.031,0.769
465,1.0,0.161,0.001,0.03,0.054,0.754
466,1.0,0.271,0.019,0.059,0.144,0.508
467,0.843,0.317,0.009,0.009,0.295,0.371
468,0.983,0.996,0.0,0.0,0.004,0.0
469,1.0,0.767,0.0,0.02,0.207,0.006
470,1.0,0.023,0.0,0.586,0.093,0.297
471,1.0,0.034,0.002,0.099,0.641,0.223
472,1.0,0.014,0.0,0.002,0.756,0.227
473,1.0,0.008,0.0,0.079,0.912,0.001
474,1.0,0.029,0.0,0.038,0.576,0.356
475,1.0,0.255,0.0,0.0,0.168,0.577
476,1.0,0.757,0.0,0.005,0.21,0.028
477,1.0,0.867,0.0,0.0,0.133,0.0
478,1.0,0.751,0.0,0.0,0.249,0.0
479,1.0,0.748,0.0,0.067,0.185,0.0
480,1.0,0.213,0.003,0.156,0.6,0.029
481,1.0,0.036,0.003,0.164,0.003,0.794
482,1.0,0.091,0.0,0.006,0.0,0.903
483,1.0,0.353,0.0,0.0,0.002,0.645
484,1.0,0.429,0.0,0.0,0.004,0.567
485,1.0,0.106,0.0,0.0,0.001,0.893
486,1.0,0.12,0.0,0.082,0.445,0.353
487,1.0,0.026,0.0,0.113,0.524,0.336
488,1.0,0.017,0.0,0.249,0.263,0.471
489,1.0,0.009,0.0,0.02,0.008,0.964
490,1.0,0.03,0.0,0.0,0.0,0.97
491,1.0,0.008,0.0,0.014,0.0,0.978
492,1.0,0.069,0.0,0.0,0.0,0.931
493,1.0,0.022,0.0,0.682,0.002,0.294
494,1.0,0.046,0.003,0.918,0.001,0.032
495,1.0,0.045,0.0,0.553,0.012,0.389
496,1.0,0.042,0.0,0.0,0.0,0.958
497,1.0,0.008,0.0,0.0,0.0,0.992
498,1.0,0.057,0.0,0.0,0.013,0.931
499,1.0,0.485,0.0,0.001,0.014,0.499
500,1.0,0.398,0.0,0.001,0.035,0.567
501,1.0,0.093,0.0,0.0,0.022,0.885
502,1.0,0.051,0.0,0.007,0.015,0.927
503,1.0,0.036,0.0,0.01,0.021,0.933
504,1.0,0.013,0.002,0.008,0.049,0.929
505,1.0,0.008,0.0,0.021,0.037,0.933
506,1.0,0.014,0.0,0.002,0.028,0.956
507,1.0,0.015,0.0,0.01,0.048,0.928
508,1.0,0.01,0.0,0.002,0.103,0.885
509,1.0,0.014,0.0,0.132,0.083,0.77
510,1.0,0.012,0.003,0.396,0.214,0.375
511,1.0,0.018,0.015,0.235,0.043,0.688
512,1.0,0.026,0.127,0.177,0.147,0.522
513,1.0,0.087,0.217,0.124,0.074,0.497
514,1.0,0.093,0.0,0.08,0.102,0.725
515,1.0,0.026,0.044,0.541,0.016,0.373
516,1.0,0.015,0.331,0.558,0.022,0.075
517,1.0,0.027,0.0,0.065,0.003,0.905
518,1.0,0.016,0.0,0.0,0.004,0.98
519,1.0,0.016,0.0,0.0,0.235,0.749
520,1.0,0.029,0.0,0.0,0.016,0.955
521,1.0,0.014,0.0,0.0,0.281,0.706
522,1.0,0.019,0.0,0.002,0.095,0.884
523,1.0,0.023,0.007,0.017,0.006,0.947
524,1.0,0.128,0.011,0.05,0.121,0.689
525,1.0,0.316,0.0,0.026,0.04,0.619
526,1.0,0.294,0.039,0.11,0.074,0.483
527,1.0,0.76,0.004,0.106,0.039,0.092
528,0.975,0.305,0.006,0.123,0.1,0.466
529,0.455,0.903,0.021,0.003,0.004,0.068
